OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,HOUSING10,POP10,Shape_Length,Shape_Area,Longitude,Latitude
6798,17,19,901,3013,1.7019E+14,19,55,0.005735964,1.85863E-06,-88.27235816,40.13533228
6799,17,19,1000,5013,1.7019E+14,0,0,0.00118251,7.95765E-08,-88.2749404,40.11944352
6800,17,19,1000,1002,1.7019E+14,18,24,0.005875002,1.90834E-06,-88.27589203,40.11792503
6801,17,19,1000,1003,1.7019E+14,19,34,0.005914073,1.95963E-06,-88.27586153,40.11693483
6802,17,19,1000,5014,1.7019E+14,0,0,0.003931164,5.71674E-07,-88.27403624,40.11945559
6803,17,19,1000,5001,1.7019E+14,13,29,0.004792206,1.41025E-06,-88.27097933,40.12068729
6804,17,19,1000,4016,1.7019E+14,20,48,0.00583287,2.01118E-06,-88.26975971,40.11925031
6805,17,19,1000,3003,1.7019E+14,16,31,0.005353792,1.68204E-06,-88.26946145,40.11687328
6806,17,19,1000,3006,1.7019E+14,26,58,0.00770902,2.66659E-06,-88.26879787,40.11501127
6807,17,19,1000,4030,1.7019E+14,10,15,0.004561623,1.25955E-06,-88.26795132,40.11881249
6808,17,19,1000,4019,1.7019E+14,25,63,0.006103711,2.1514E-06,-88.2667426,40.11929973
6809,17,19,1000,3014,1.7019E+14,21,48,0.005821591,1.99517E-06,-88.2696866,40.11366932
6810,17,19,10900,1003,1.7019E+14,5,9,0.00516187,1.65395E-06,-88.16068603,40.01049003
6811,17,19,10900,1036,1.7019E+14,8,18,0.006340629,2.31997E-06,-88.15893519,40.00422145
6812,17,19,10900,1007,1.7019E+14,4,6,0.004473996,1.18484E-06,-88.15726597,40.008445
6813,17,19,10900,1019,1.7019E+14,5,12,0.004958237,1.51719E-06,-88.15582425,40.00536645
6814,17,19,10900,1030,1.7019E+14,4,12,0.00501091,1.54894E-06,-88.15263274,40.00425664
6815,17,19,10800,3028,1.7019E+14,1,4,0.002802117,4.84386E-07,-88.07706518,40.02453829
6816,17,19,5300,1021,1.7019E+14,0,0,0.003915933,5.36519E-07,-88.23054824,40.1358275
6817,17,19,10800,3037,1.7019E+14,11,26,0.005690054,1.92972E-06,-88.07032453,40.02081119
6818,17,19,10204,2054,1.7019E+14,0,0,0.004292742,9.24731E-07,-88.15657787,40.3084908
6819,17,19,10400,1003,1.7019E+14,0,0,0.02588327,3.76696E-06,-88.13152818,40.39479625
6820,17,19,10400,1053,1.7019E+14,6,21,0.004251458,1.02335E-06,-88.12419899,40.38671054
6821,17,19,10400,1029,1.7019E+14,0,0,0.001104484,3.2322E-08,-88.13190114,40.38558699
6822,17,19,10400,2082,1.7019E+14,0,0,0.008817301,1.1763E-06,-88.16652854,40.33961288
6823,17,19,10204,5047,1.7019E+14,0,0,0.001076304,6.22395E-08,-88.16067561,40.31067444
6824,17,19,10204,4012,1.7019E+14,1,0,0.004667277,1.05972E-06,-88.14978283,40.30974105
6825,17,19,10204,2060,1.7019E+14,0,0,0.004047459,9.6304E-07,-88.15851094,40.30700177
6826,17,19,10300,1019,1.7019E+14,0,0,0.003253077,5.08705E-07,-88.15590484,40.29919868
6827,17,19,10300,1051,1.7019E+14,0,0,0.001400362,1.27944E-07,-88.15338764,40.29813464
6828,17,19,10900,3003,1.7019E+14,1,2,0.009292889,4.61483E-06,-88.2500329,39.98927426
6829,17,19,10400,5014,1.7019E+14,20,50,0.006914376,2.89802E-06,-88.19415794,40.24133643
6830,17,19,10500,3024,1.7019E+14,2,5,0.067225683,0.000277935,-88.45103622,40.26000513
6831,17,19,10500,3025,1.7019E+14,3,7,0.067594658,0.000273338,-88.43219756,40.26011069
6832,17,19,10500,3031,1.7019E+14,0,0,0.008178973,2.64268E-06,-88.42120604,40.25313189
6833,17,19,10500,3040,1.7019E+14,0,0,0.024886074,3.07883E-05,-88.42066661,40.24197562
6834,17,19,10500,3000,1.7019E+14,5,13,0.067557216,0.000278934,-88.37491104,40.30353137
6835,17,19,10500,3016,1.7019E+14,7,17,0.057166109,0.000168305,-88.38616878,40.2734832
6836,17,19,10500,3055,1.7019E+14,4,7,0.067018862,0.000276788,-88.35595734,40.25975989
6837,17,19,10601,3053,1.7019E+14,0,0,0.005380849,6.30327E-07,-88.44601486,40.17009546
6838,17,19,1203,2002,1.7019E+14,1,2,0.001833794,1.81903E-07,-88.28555841,40.09493684
6839,17,19,1203,1006,1.7019E+14,18,46,0.006045112,1.98287E-06,-88.28351972,40.09667667
6840,17,19,1201,1000,1.7019E+14,150,359,0.009734417,4.49259E-06,-88.27754884,40.10791897
